,Station,Air Quality,O3 Quality,O3 µg/m3,NO2 Quality,NO2 µg/m3,PM10 Quality,PM10 µg/m3,Date Time,Generated Date,Generated Time,Week Day
141,Palau Reial,Good,Good,54.0,Good,3.0,Good,9.0,1541088303,01/11/18,17:00,Thursday
142,Poblenou,Good,,,Good,14.0,Good,9.0,1541088303,01/11/18,17:00,Thursday
143,Observ Fabra,Good,Good,70.0,Good,3.0,Good,6.0,1541088303,01/11/18,17:00,Thursday
144,Sants,Good,,,Good,14.0,,,1541091903,01/11/18,18:00,Thursday
145,Eixample,Good,Good,38.0,Good,37.0,Good,14.0,1541091903,01/11/18,18:00,Thursday
146,Gràcia,Good,Good,49.0,Good,21.0,,,1541091903,01/11/18,18:00,Thursday
147,Ciutadella,Good,Good,54.0,Good,16.0,,,1541091903,01/11/18,18:00,Thursday
148,Vall Hebron,Good,Good,54.0,Good,15.0,,,1541091903,01/11/18,18:00,Thursday
149,Palau Reial,Good,Good,54.0,Good,3.0,Good,9.0,1541091903,01/11/18,18:00,Thursday
150,Poblenou,Good,,,Good,18.0,Good,8.0,1541091903,01/11/18,18:00,Thursday
151,Observ Fabra,Good,Good,71.0,Good,5.0,Good,6.0,1541091903,01/11/18,18:00,Thursday
152,Sants,Good,,,Good,29.0,,,1541095503,01/11/18,19:00,Thursday
153,Eixample,Good,Good,38.0,Good,37.0,Good,13.0,1541095503,01/11/18,19:00,Thursday
154,Gràcia,Good,Good,49.0,Good,28.0,,,1541095503,01/11/18,19:00,Thursday
155,Ciutadella,Good,Good,46.0,Good,16.0,,,1541095503,01/11/18,19:00,Thursday
156,Vall Hebron,Good,Good,18.0,Good,58.0,,,1541095503,01/11/18,19:00,Thursday
157,Palau Reial,Good,Good,30.0,Good,23.0,Good,9.0,1541095503,01/11/18,19:00,Thursday
158,Poblenou,Good,,,Good,19.0,Good,7.0,1541095503,01/11/18,19:00,Thursday
159,Observ Fabra,Good,Good,57.0,Good,20.0,Good,6.0,1541095503,01/11/18,19:00,Thursday
160,Sants,Good,,,Good,35.0,,,1541099103,01/11/18,20:00,Thursday
161,Eixample,Good,,,,,Good,13.0,1541099103,01/11/18,20:00,Thursday
162,Gràcia,Good,Good,38.0,Good,37.0,,,1541099103,01/11/18,20:00,Thursday
163,Ciutadella,Good,Good,38.0,Good,23.0,,,1541099103,01/11/18,20:00,Thursday
164,Vall Hebron,Good,Good,2.0,Good,72.0,,,1541099103,01/11/18,20:00,Thursday
165,Palau Reial,Good,Good,15.0,Good,40.0,Good,9.0,1541099103,01/11/18,20:00,Thursday
166,Poblenou,Good,,,Good,33.0,Good,8.0,1541099103,01/11/18,20:00,Thursday
167,Observ Fabra,Good,Good,65.0,Good,15.0,Good,6.0,1541099103,01/11/18,20:00,Thursday
168,Sants,Good,,,Good,66.0,,,1541102702,01/11/18,21:00,Thursday
169,Eixample,Good,,,,,Good,12.0,1541102702,01/11/18,21:00,Thursday
170,Gràcia,Good,Good,8.0,Good,67.0,,,1541102702,01/11/18,21:00,Thursday
